ILTCourseCode,ClassCode,ClassStartDate,ClassEndDate,TimeZone,ClassName,Instructor,Provider,Minimum,Maximum,EstimatedCredits,Contact,Waitlist,Location
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0002,02/26/2021 14:30:00.000,02/26/2021 15:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0003,02/26/2021 16:00:00.000,02/26/2021 17:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0004,02/26/2021 17:30:00.000,02/26/2021 18:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0005,02/26/2021 20:00:00.000,02/26/2021 21:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0006,02/26/2021 21:30:00.000,02/26/2021 22:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0007,02/22/2021 13:00:00.000,02/22/2021 14:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0008,02/22/2021 14:30:00.000,02/22/2021 15:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0009,02/22/2021 16:00:00.000,02/22/2021 17:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0010,02/22/2021 17:30:00.000,02/22/2021 18:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0011,02/22/2021 20:00:00.000,02/22/2021 21:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0012,02/22/2021 21:30:00.000,02/22/2021 22:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0013,04/14/2021 12:00:00.000,04/14/2021 13:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0014,04/14/2021 13:30:00.000,04/14/2021 14:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0015,04/14/2021 15:00:00.000,04/14/2021 16:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0016,04/14/2021 16:30:00.000,04/14/2021 17:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0017,04/14/2021 19:00:00.000,04/14/2021 20:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0018,04/14/2021 20:30:00.000,04/14/2021 21:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0019,06/16/2021 12:00:00.000,06/16/2021 13:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0020,06/16/2021 13:30:00.000,06/16/2021 14:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0021,06/16/2021 15:00:00.000,06/16/2021 16:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0022,06/16/2021 16:30:00.000,06/16/2021 17:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0023,06/16/2021 19:00:00.000,06/16/2021 20:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0024,06/16/2021 20:30:00.000,06/16/2021 21:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0025,06/16/2021 11:00:00.000,06/16/2021 12:00:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0026,08/26/2021 11:00:00.000,08/26/2021 12:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0027,08/26/2021 12:00:00.000,08/26/2021 13:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0028,08/26/2021 13:30:00.000,08/26/2021 14:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0029,08/26/2021 15:00:00.000,08/26/2021 16:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0030,08/26/2021 16:30:00.000,08/26/2021 17:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0031,08/26/2021 19:00:00.000,08/26/2021 20:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0032,08/26/2021 20:30:00.000,08/26/2021 21:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0034,10/13/2021 13:30:00.000,10/13/2021 15:30:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training (Safety Department will Schedule Date & Time),,ILT Content,,,,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0035,10/11/2021 13:00:00,10/11/2021 14:15:00,America/Chicago,Offering of LIVE Fire Extinguisher Training (Safety Department will Schedule Date & Time),,ILT Content,,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0036,10/11/2021 14:15:00,10/11/2021 15:15:00,America/Chicago,Offering of LIVE Fire Extinguisher Training (Safety Department will Schedule Date & Time),,ILT Content,,10,3600,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0037,10/11/2021 15:15:00,10/11/2021 16:15:00,America/Chicago,Offering of LIVE Fire Extinguisher Training (Safety Department will Schedule Date & Time),,ILT Content,,10,3600,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0038,01/03/2022 12:00:00,01/03/2022 13:15:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0039,01/03/2022 13:30:00,01/03/2022 14:45:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0040,01/03/2022 15:00:00,01/03/2022 16:15:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0041,01/03/2022 16:30:00,01/03/2022 17:45:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0042,01/03/2022 18:30:00,01/03/2022 19:45:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0043,01/03/2022 20:00:00,01/03/2022 21:15:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0044,02/03/2022 12:00:00,02/03/2022 13:15:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0045,02/03/2022 13:30:00,02/03/2022 14:45:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0046,02/03/2022 15:00:00,02/03/2022 16:15:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0047,02/03/2022 16:30:00,02/03/2022 17:45:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0048,02/03/2022 18:30:00,02/03/2022 19:45:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0049,02/03/2022 20:00:00,02/03/2022 21:15:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0050,05/04/2022 11:00:00,05/04/2022 12:15:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0051,05/04/2022 12:30:00,05/04/2022 13:45:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0052,05/04/2022 14:00:00,05/04/2022 15:15:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0053,05/04/2022 15:30:00,05/04/2022 16:45:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0054,05/04/2022 17:30:00,05/04/2022 18:45:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0055,05/04/2022 19:00:00,05/04/2022 20:15:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0056,06/04/2022 11:00:00,06/04/2022 12:15:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0057,06/04/2022 12:30:00,06/04/2022 13:45:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0058,06/04/2022 14:00:00,06/04/2022 15:15:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0059,06/04/2022 15:30:00,06/04/2022 16:45:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0060,06/04/2022 17:30:00,06/04/2022 18:45:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0061,06/04/2022 19:00:00,06/04/2022 20:15:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0062,05/04/2022 20:00:00,05/04/2022 21:15:00,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0063,06/22/2022 11:00:00.000,06/22/2022 12:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0064,06/22/2022 12:30:00.000,06/22/2022 13:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0065,06/23/2022 11:00:00.000,06/23/2022 12:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0066,06/22/2022 14:00:00.000,06/22/2022 15:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0067,06/22/2022 15:30:00.000,06/22/2022 16:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0068,06/22/2022 17:30:00.000,06/22/2022 18:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0069,06/22/2022 19:00:00.000,06/22/2022 20:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0070,06/23/2022 12:30:00.000,06/23/2022 13:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0071,06/23/2022 14:00:00.000,06/23/2022 15:15:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0072,06/23/2022 15:30:00.000,06/23/2022 16:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
Compliance_LIVE Fire Extinguisher Training_MO,Compliance_LIVE Fire Extinguisher Training_MO-0073,06/23/2022 17:30:00.000,06/23/2022 18:45:00.000,America/Chicago,Offering of LIVE Fire Extinguisher Training,,ILT Content,3,10,4500,AGG.University@dummydata.com,1,Bldg_1_Room_102
