EmployeeID,ActivityCode,Training Status,RegistrationDate,CompletionDate,DueDate,Score,Success,Notes
1657,Computer_FileHold Class,Attended,09/25/2017 08:00:00.000,09/25/2017 00:00:00.000,,,,
1657,Safety_Token Yochi Class,Attended,10/08/2016 08:00:00,10/08/2016 00:00:00,,,,
1662,Leadership_Emotional Intelligence Training-0002,Attended,09/16/2019 13:37:51.000,10/24/2019 14:55:00.000,,,,
1687,Core_ Core Operator Training (AGGU) Class,Attended,09/10/2015 08:00:00,09/10/2015 00:00:00,,,,
1706,Onboarding_Mentor Certification Training-0029,Attended,08/24/2021 15:16:44.000,08/24/2021 12:15:00.000,,,,
1740,Train the Trainer_Overhead Crane Instructor Class,Attended,03/15/2016 08:00:00.000,03/15/2016 00:00:00.000,,,,
1743,Computer Skills_Excel Intermediate Class,Attended,10/04/2017 08:00:00,04/14/2017 00:00:00.000,,,,
1768,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
1778,Computer_FileHold Class,Attended,03/05/2017 08:00:00,03/05/2017 00:00:00,,,,
1783,Core_ Core Operator Training (AGGU) Class,Attended,06/06/2016 08:00:00,07/06/2016 00:00:00,,,,
1798,Technical_Fanuc Level I (Ranken) Class,Attended,12/13/2018 20:22:56.000,03/05/2018 22:00:00,,,,This is done by admin due to some Technical Issues or Glitches
1798,Technical_Fanuc Level II (Ranken) Class,Attended,12/13/2018 20:21:06.000,05/24/2018 22:00:00.000,,,,
1824,Core_ Core Operator Training (AGGU) Class,Attended,09/23/2015 08:00:00.000,09/23/2015 00:00:00.000,,,,
1839,Computer Skills_Excel Basic Class,Attended,07/24/2017 08:00:00.000,07/28/2017 00:00:00.000,,,,
1839,Computer Skills_Excel Intermediate Class,Attended,07/08/2017 08:00:00,11/08/2017 00:00:00,,,,
1841,Core_ Core Operator Training (AGGU) Class,Attended,06/06/2016 08:00:00,07/06/2016 00:00:00,,,,
1842,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
1856,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
1907,Leadership_Emotional Intelligence Training-0002,Attended,09/16/2019 16:53:45.000,10/24/2019 14:55:00.000,,,,
1917,Leadership_Emotional Intelligence Training-0002,Attended,09/13/2019 21:02:13.000,10/24/2019 14:55:00.000,,,,
1920,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 16:22:09.000,12/01/2018 12:00:00,,,,
1920,Leadership_Emotional Intelligence Training-0001,Attended,07/10/2019 20:58:41,10/24/2019 14:55:00.000,,,,
1937,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 16:37:12.000,01/15/2018 14:30:00.000,,,,
1937,Leadership_Emotional Intelligence Training-0001,Attended,09/13/2019 19:44:47.000,10/24/2019 14:55:00.000,,,,
1943,Computer Skills_Excel Basic Class,Attended,06/26/2017 08:00:00.000,06/30/2017 00:00:00.000,,,,
1943,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 16:22:09.000,12/01/2018 12:00:00,,,,
1943,Safety_Token Yochi Class,Attended,07/11/2017 08:00:00,07/11/2017 00:00:00,,,,
1962,Computer Skills_Excel Basic Class,Attended,06/26/2017 08:00:00.000,06/30/2017 00:00:00.000,,,,
1962,Computer Skills_Excel Intermediate Class,Attended,10/07/2017 08:00:00,07/14/2017 00:00:00.000,,,,
1971,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
2033,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:57:33.000,12/01/2018 21:00:00,,,,
2033,Leadership_Emotional Intelligence Training-0002,Attended,09/13/2019 22:00:59.000,10/24/2019 14:55:00.000,,,,
2037,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
2068,Compliance_LIVE Fire Extinguisher Training_MO-0116,Attended,03/29/2023 15:28:35.000,04/04/2023 13:20:00,,,,
2131,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:51:19.000,01/13/2018 01:00:00.000,,,,
2131,Safety_Token Yochi Class,Attended,07/13/2017 08:00:00.000,07/13/2017 00:00:00.000,,,,
2226,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:57:33.000,12/01/2018 21:00:00,,,,
2226,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
2231,Train the Trainer_Overhead Crane Instructor Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
2263,Computer Skills_Excel Basic Class,Attended,04/30/2017 08:00:00.000,04/30/2017 00:00:00.000,,,,
2263,Safety_Token Yochi Class,Attended,07/06/2019 20:40:37,07/06/2019 20:40:00,,,,
2268,Auditor Training (vendor) Class,Attended,03/27/2017 08:00:00.000,03/29/2017 00:00:00.000,,,,
2268,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 14:48:56.000,11/01/2018 13:00:00,,,,
2268,Requirement_Certificate of AGG Auditor Class -0001,Attended,09/30/2016 08:00:00.000,09/30/2016 16:30:00.000,,,,
2268,Requirement_Lead Auditor Training with Supplier Auditor Certification (ISO 9001:2000_ISO/TS 16949:2002),Attended,09/19/2003 08:00:00.000,09/19/2003 00:00:00.000,,,,
2268,Requirement_Lead Auditor Validation (ISO/TS 16949:2009) -0001,Attended,06/16/2016 08:00:00.000,06/17/2016 15:00:00.000,,,,
2289,Computer Skills_Excel Intermediate Class,Attended,05/15/2017 08:00:00.000,05/19/2017 00:00:00.000,,,,
2290,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 16:22:09.000,12/01/2018 12:00:00,,,,
2340,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 16:22:09.000,12/01/2018 12:00:00,,,,
2340,Computer_Excel Basic-0011,Attended,01/31/2019 14:35:56.000,08/02/2019 17:25:00,,,,
2377,Safety_Token Yochi Class,Attended,11/10/2017 08:00:00,11/10/2017 00:00:00,,,,
2435,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
2455,Computer Skills_Excel Intermediate Class,Attended,05/15/2017 08:00:00.000,05/19/2017 00:00:00.000,,,,
2522,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
2525,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
2535,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
2566,Leadership_Emotional Intelligence Training-0002,Attended,09/16/2019 13:12:28.000,10/24/2019 14:55:00.000,,,,
2579,Leadership_Emotional Intelligence Training-0001,Attended,09/13/2019 16:41:40.000,10/24/2019 14:55:00.000,,,,
2583,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
2614,Computer_Excel Basic-0011,Attended,01/14/2019 19:31:02.000,08/02/2019 17:25:00,,,,
2627,Computer Skills_Excel Basic Class,Attended,04/24/2017 08:00:00.000,04/28/2017 00:00:00.000,,,,
2627,Computer Skills_Excel Intermediate Class,Attended,05/15/2017 08:00:00.000,05/19/2017 00:00:00.000,,,,
2627,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:57:33.000,12/01/2018 21:00:00,,,,
2627,Core_ Core Operator Training (AGGU) Class,Attended,03/10/2017 08:00:00,10/13/2017 00:00:00.000,,,,
2639,Computer_Excel Basic-0011,No-show,04/02/2019 14:53:16,11/02/2019 17:27:59,,,,
2654,Train the Trainer_Overhead Crane Instructor Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
2674,Safety_Token Yochi Class,Attended,12/06/2019 15:55:48,12/06/2019 15:55:00,,,,
2687,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
2694,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
2718,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:49:26.000,12/01/2018 01:00:00,,,,
2718,Safety_Token Yochi Class,Attended,12/10/2017 08:00:00,12/10/2017 00:00:00,,,,
2718,Train the Trainer_Overhead Crane Instructor Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
2744,Train the Trainer_Overhead Crane Instructor Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
2781,Technical_Fanuc Level I (Ranken)-0001,Attended,12/07/2021 20:59:22,07/22/2021 15:55:00.000,,,,
2781,Technical_Mechanical Level 2 Lab (Ranken) Class,Attended,10/10/2016 08:00:00,10/14/2016 00:00:00.000,,,,
2790,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
2809,Computer & Software_JDE Class,Attended,01/23/2017 08:00:00.000,01/23/2017 00:00:00.000,,,,
2809,Computer & Software_Microsoft Outlook Class,Attended,01/23/2017 08:00:00.000,01/23/2017 00:00:00.000,,,,This is done by admin due to some Technical Issues or Glitches
2809,Computer & Software_Shop Floor Data Entry Class,Attended,01/23/2017 08:00:00.000,01/23/2017 00:00:00.000,,,,
2809,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:57:33.000,12/01/2018 21:00:00,,,,
2809,Computer_FileHold Class,Attended,01/23/2017 08:00:00.000,01/23/2017 00:00:00.000,,,,
2809,Legal_FMLA for Management (AGG specifics) Class,Attended,03/04/2017 08:00:00,03/04/2017 00:00:00,,,,
2809,Safety_Token Yochi Class,Attended,06/29/2017 08:00:00.000,06/29/2017 00:00:00.000,,,,
2841,Safety_Token Yochi Class,Attended,10/08/2016 08:00:00,10/08/2016 00:00:00,,,,
2846,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 16:22:09.000,12/01/2018 12:00:00,,,,
2846,Leadership_Emotional Intelligence Training-0001,Attended,09/13/2019 13:49:57.000,10/24/2019 14:55:00.000,,,,
2859,Computer & Software_Excel Intermediate-0002,Cancelled,01/24/2019 16:00:31.000,01/02/2019 21:59:13,,,,This is done by admin due to some Technical Issues or Glitches
2859,Computer & Software_Excel Intermediate-0003,Attended,01/02/2019 22:19:46,02/15/2019 14:50:00.000,,,,
2859,Computer_Excel Basic-0011,Attended,01/14/2019 22:55:50.000,08/02/2019 17:25:00,,,,
2859,Technical_Fanuc Level I (Ranken)-0001,Attended,12/07/2021 21:28:32,07/22/2021 19:20:00.000,,,,
2859,Technical_Fanuc Level I (Ranken)-0004,Attended,08/20/2021 18:21:54.000,02/09/2021 22:00:00,,,,
2859,Technical_Mechanical Level 2 Lab (Ranken) Class,Attended,10/10/2016 08:00:00,10/14/2016 00:00:00.000,,,,
2881,Computer & Software_JDE Class,Attended,09/19/2017 08:00:00.000,09/19/2017 00:00:00.000,,,,
2881,Computer & Software_Microsoft Outlook Class,Attended,09/15/2017 08:00:00.000,09/15/2017 00:00:00.000,,,,This is done by admin due to some Technical Issues or Glitches
2881,Computer_GDP (eTime dept tracking) Class,Attended,09/15/2017 08:00:00.000,09/15/2017 00:00:00.000,,,,
2881,Computer_FileHold Class,Attended,09/25/2017 08:00:00.000,09/25/2017 00:00:00.000,,,,
2881,Safety_Token Yochi Class,Attended,09/08/2017 08:00:00,09/08/2017 00:00:00,,,,
2883,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
2887,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
2999,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 16:37:12.000,01/15/2018 14:30:00.000,,,,
2999,Technical_Fanuc Level I (Ranken) Class,Attended,02/13/2017 08:00:00.000,02/16/2017 00:00:00.000,,,,This is done by admin due to some Technical Issues or Glitches
2999,Technical_Fanuc Level II (Ranken) Class,Attended,03/20/2017 08:00:00.000,03/23/2017 00:00:00.000,,,,
2999,Technical_Fanuc Level III (Ranken) Class,Attended,01/05/2017 08:00:00,05/05/2017 00:00:00,,,,
3064,Core_ Core Operator Training (AGGU) Class,Attended,08/18/2015 08:00:00.000,08/18/2015 00:00:00.000,,,,
3121,Computer Skills_Excel Basic Class,Attended,03/27/2017 08:00:00.000,03/04/2017 00:00:00,,,,
3121,Computer Skills_Excel Intermediate Class,Attended,10/07/2017 08:00:00,07/14/2017 00:00:00.000,,,,
3121,Safety_Token Yochi Class,Attended,05/24/2019 15:05:10.000,07/12/2018 16:05:00,,,,
3137,Computer Skills_Excel Basic Class,Attended,03/27/2017 08:00:00.000,03/04/2017 00:00:00,,,,
3137,Core_ Core Operator Training (AGGU) Class,Attended,10/15/2015 08:00:00.000,10/15/2015 00:00:00.000,,,,
3183,Computer_FileHold Class,Attended,03/05/2017 08:00:00,03/05/2017 00:00:00,,,,
3288,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 16:22:09.000,12/01/2018 13:00:00,,,,
3307,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:20:56.000,11/01/2018 21:00:00,,,,
3307,Safety_Token Yochi Class,Attended,10/08/2017 08:00:00,10/08/2017 00:00:00,,,,
3342,Core_ Core Operator Training (AGGU) Class,Attended,02/09/2015 08:00:00,02/09/2015 00:00:00,,,,
3366,Train the Trainer_Overhead Crane Instructor Class,Attended,03/15/2016 08:00:00.000,03/15/2016 00:00:00.000,,,,
3407,Train the Trainer_Overhead Crane Instructor Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
3468,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
3477,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:11:16.000,11/01/2018 14:30:00,,,,
3477,Computer_FileHold Class,Attended,03/05/2017 08:00:00,03/05/2017 00:00:00,,,,
3477,Safety_Token Yochi Class,Attended,11/10/2017 08:00:00,11/10/2017 00:00:00,,,,
3487,Computer & Software_JDE Class,Attended,12/16/2015 08:00:00.000,12/16/2015 00:00:00.000,,,,
3487,Core_ Core Operator Training (AGGU) Class,Attended,09/16/2015 08:00:00.000,09/16/2015 00:00:00.000,,,,
3487,Safety_Token Yochi Class,Attended,10/08/2017 08:00:00,10/08/2017 00:00:00,,,,
3498,Core_ Core Operator Training (AGGU) Class,Attended,09/23/2015 08:00:00.000,09/23/2015 00:00:00.000,,,,
3499,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
3530,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
3575,Computer Skills_Excel Basic Class,Attended,06/26/2017 08:00:00.000,06/30/2017 00:00:00.000,,,,
3575,Computer Skills_Excel Intermediate Class,Attended,10/07/2017 08:00:00,07/14/2017 00:00:00.000,,,,
3575,Safety_Token Yochi Class,Attended,11/08/2017 08:00:00,11/08/2017 00:00:00,,,,
3600,Computer Skills_Excel Basic Class,Attended,06/26/2017 08:00:00.000,06/30/2017 00:00:00.000,,,,
3600,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:23:27.000,11/01/2018 21:00:00,,,,
3600,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
3600,Safety_Token Yochi Class,Attended,10/08/2017 08:00:00,10/08/2017 00:00:00,,,,
3601,Leadership_Emotional Intelligence Training-0002,Attended,07/10/2019 20:06:02,10/24/2019 14:55:00.000,,,,
3625,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:11:16.000,11/01/2018 14:30:00,,,,
3625,Computer_FileHold Class,Attended,03/05/2017 08:00:00,03/05/2017 00:00:00,,,,
3625,Core_ Core Operator Training (AGGU) Class,Attended,10/08/2015 08:00:00,10/08/2015 00:00:00,,,,
3689,Leadership_Emotional Intelligence Training-0001,Attended,09/16/2019 16:58:18.000,10/24/2019 14:55:00.000,,,,
3709,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:11:16.000,11/01/2018 14:30:00,,,,
3716,Computer Skills_Excel Basic Class,Attended,03/27/2017 08:00:00.000,03/30/2017 00:00:00.000,,,,
3716,Computer Skills_Excel Intermediate Class,Attended,10/04/2017 08:00:00,04/14/2017 00:00:00.000,,,,
3738,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:20:56.000,11/01/2018 21:00:00,,,,
3738,Leadership_Emotional Intelligence Training-0002,Attended,07/10/2019 17:05:54,10/24/2019 14:55:00.000,,,,
3788,Computer & Software_Microsoft Outlook Class,Attended,10/22/2015 08:00:00.000,10/22/2015 00:00:00.000,,,,This is done by admin due to some Technical Issues or Glitches
3788,Computer Skills_Excel Basic Class,Attended,03/27/2017 08:00:00.000,03/04/2017 00:00:00,,,,
3788,Computer Skills_Excel Intermediate Class,Attended,10/04/2017 08:00:00,04/14/2017 00:00:00.000,,,,
3788,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:20:56.000,11/01/2018 21:00:00,,,,
3788,Computer_FileHold Class,Attended,12/11/2015 08:00:00,12/11/2015 00:00:00,,,,
3788,Safety_Token Yochi Class,Attended,10/08/2017 08:00:00,10/08/2017 00:00:00,,,,
3790,Compliance_LIVE Fire Extinguisher Training_MO-0117,Attended,03/29/2023 15:33:05.000,04/04/2023 13:20:00,,,,
3881,Core_ Core Operator Training (AGGU) Class,Attended,09/23/2015 08:00:00.000,09/23/2015 00:00:00.000,,,,
3888,Computer Skills_Excel Intermediate Class,Attended,10/07/2017 08:00:00,07/14/2017 00:00:00.000,,,,
3906,Computer_Excel Basic-0011,Attended,01/18/2019 21:10:51.000,08/02/2019 17:25:00,,,,
3920,Computer & Software_Microsoft Outlook Class,Attended,03/12/2015 08:00:00,03/12/2015 00:00:00,,,,This is done by admin due to some Technical Issues or Glitches
3920,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:20:56.000,11/01/2018 21:00:00,,,,
3971,Leadership_Emotional Intelligence Training-0001,Attended,09/16/2019 13:24:10.000,10/24/2019 14:55:00.000,,,,
3972,Technical_Fanuc Level I (Ranken) Class,Attended,12/13/2018 20:18:51.000,04/26/2018 22:00:00.000,,,,This is done by admin due to some Technical Issues or Glitches
3972,Technical_Fanuc Level II (Ranken) Class,Attended,12/13/2018 20:26:51.000,07/06/2018 22:00:00,,,,
3988,Core_ Core Operator Training (AGGU) Class,Attended,09/16/2015 08:00:00.000,09/16/2015 00:00:00.000,,,,
4014,Train the Trainer_Overhead Crane Instructor Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
4059,Computer Skills_Excel Basic Class,Attended,03/27/2017 08:00:00.000,03/04/2017 00:00:00,,,,
4059,Computer Skills_Excel Intermediate Class,Attended,10/04/2017 08:00:00,04/14/2017 00:00:00.000,,,,
4063,Computer Skills_Excel Basic Class,Attended,06/26/2017 08:00:00.000,06/30/2017 00:00:00.000,,,,
4063,Technical_Fanuc Level I (Ranken) Class,Attended,04/27/2018 19:00:10.000,05/04/2018 20:00:00,,,,This is done by admin due to some Technical Issues or Glitches
4063,Technical_Fanuc Level II (Ranken) Class,Attended,12/13/2018 20:16:45.000,12/04/2018 22:00:00,,,,
4125,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:23:27.000,11/01/2018 21:00:00,,,,
4125,Safety_Token Yochi Class,Attended,06/22/2017 08:00:00.000,06/22/2017 00:00:00.000,,,,
4160,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
4185,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 16:37:12.000,01/15/2018 14:30:00.000,,,,
4185,Leadership_Emotional Intelligence Training-0001,Attended,09/23/2019 16:34:35.000,10/24/2019 14:55:00.000,,,,
4205,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:57:33.000,12/01/2018 21:00:00,,,,
4280,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:20:56.000,11/01/2018 21:00:00,,,,
4280,Safety_Token Yochi Class,Attended,10/08/2017 08:00:00,10/08/2017 00:00:00,,,,
4296,Computer Skills_Excel Intermediate Class,Attended,02/18/2019 16:47:55.000,02/15/2019 16:45:00.000,,,,
4296,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:23:27.000,11/01/2018 21:00:00,,,,
4296,Technical_Fanuc Level I (Ranken) Class,Attended,06/02/2017 08:00:00,09/02/2017 00:00:00,,,,This is done by admin due to some Technical Issues or Glitches
4296,Technical_Fanuc Level II (Ranken) Class,Attended,03/13/2017 08:00:00.000,03/16/2017 00:00:00.000,,,,
4296,Technical_Fanuc Level III (Ranken) Class,Attended,04/17/2017 08:00:00.000,04/20/2017 00:00:00.000,,,,
4386,Computer & Software_JDE Class,Attended,06/03/2017 08:00:00,06/03/2017 00:00:00,,,,
4386,Computer & Software_Microsoft Outlook Class,Attended,06/03/2017 08:00:00,06/03/2017 00:00:00,,,,This is done by admin due to some Technical Issues or Glitches
4386,Computer & Software_Shop Floor Data Entry Class,Attended,06/03/2017 08:00:00,06/03/2017 00:00:00,,,,
4386,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 14:48:56.000,11/01/2018 13:00:00,,,,
4386,Computer_FileHold Class,Attended,06/03/2017 08:00:00,06/03/2017 00:00:00,,,,
4386,Core_ Core Operator Training (AGGU) Class,Attended,05/08/2015 08:00:00,05/08/2015 00:00:00,,,,
4386,Legal_FMLA for Management (AGG specifics) Class,Attended,06/03/2017 08:00:00,06/03/2017 00:00:00,,,,
4386,Safety_Token Yochi Class,Attended,06/03/2017 08:00:00,06/03/2017 00:00:00,,,,
4386,Train the Trainer_Overhead Crane Instructor Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
4420,Auditor Training (vendor) Class,Attended,03/27/2017 08:00:00.000,03/29/2017 00:00:00.000,,,,
10008,Technical_Fanuc Level I (Ranken) Class,Attended,10/22/2018 14:21:11.000,08/30/2018 22:00:00.000,,,,This is done by admin due to some Technical Issues or Glitches
10008,Technical_Fanuc Level II (Ranken) Class,Attended,10/22/2018 14:09:35.000,09/27/2018 22:00:00.000,,,,
10036,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 14:40:52.000,11/01/2018 12:00:00,,,,
10036,Leadership_Emotional Intelligence Training-0001,Attended,09/13/2019 10:52:16.000,10/24/2019 14:55:00.000,,,,
10103,Core_ Core Operator Training (AGGU) Class,Attended,08/27/2015 08:00:00.000,08/27/2015 00:00:00.000,,,,
10131,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 16:22:09.000,12/01/2018 12:00:00,,,,
10131,Safety_Token Yochi Class,Attended,09/18/2017 08:00:00.000,09/18/2017 00:00:00.000,,,,
10341,Computer_GDP (eTime dept tracking) Class,Attended,12/13/2018 15:51:19.000,01/13/2018 01:00:00.000,,,,
10341,Safety_Token Yochi Class,Attended,11/10/2017 08:00:00,11/10/2017 00:00:00,,,,
