Session ID*,Transcript Status,Score,Pass/Fail,Request Date/Time,Registration Date/Time,User ID*,Completion Date/Time,Due Date/Time‡,Archived,User Exempt Reason,Approver Exempt Reason,User's Exemption Comments,Approver's Exemption Comments,Exempt By,Comments
Leadership_Emotional Intelligence Training-0001,Completed,0,Pass,2019-09-20 00:29:38,2019-09-20 00:29:38,1622,2019-10-24 14:55:00,,0,0,0,,,,
Leadership_Emotional Intelligence Training-0002,Completed,0,Pass,2019-10-10 15:09:35,2019-10-10 15:09:35,1634,2019-10-24 14:55:00,,0,0,0,,,,
Safety_Token Yochi Class,Completed,0,Pass,2017-07-13 08:00:00,2017-07-13 08:00:00,1634,2017-07-13 00:00:00,,0,0,0,,,,
Safety_Token Yochi Class,Completed,0,Pass,2017-02-23 08:00:00,2017-02-23 08:00:00,1635,2017-02-23 00:00:00,,0,0,0,,,,
Computer & Software_JDE Class,Completed,0,Pass,2017-09-19 08:00:00,2017-09-19 08:00:00,1657,2017-09-19 00:00:00,,0,0,0,,,,
Computer & Software_Microsoft Outlook Class,Completed,0,Pass,2017-09-15 08:00:00,2017-09-15 08:00:00,1657,2017-09-15 00:00:00,,0,0,0,,,,
Computer Skills_Excel Basic Class,Completed,0,Pass,2017-07-24 08:00:00,2017-07-24 08:00:00,1657,2017-07-28 00:00:00,,0,0,0,,,,
Computer Skills_Excel Intermediate Class,Completed,0,Pass,2017-07-08 08:00:00,2017-07-08 08:00:00,1657,2017-11-08 00:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2017-09-15 08:00:00,2017-09-15 08:00:00,1657,2017-09-15 00:00:00,,0,0,0,,,,
Computer_FileHold Class,Completed,0,Pass,2017-09-25 08:00:00,2017-09-25 08:00:00,1657,2017-09-25 00:00:00,,0,0,0,,,,
Safety_Token Yochi Class,Completed,0,Pass,2016-10-08 08:00:00,2016-10-08 08:00:00,1657,2016-10-08 00:00:00,,0,0,0,,,,
Leadership_Emotional Intelligence Training-0002,Completed,0,Pass,2019-09-16 13:37:51,2019-09-16 13:37:51,1662,2019-10-24 14:55:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-09-10 08:00:00,2015-09-10 08:00:00,1687,2015-09-10 00:00:00,,0,0,0,,,,
Onboarding_Mentor Certification Training-0029,Completed,0,Pass,2021-08-24 15:16:44,2021-08-24 15:16:44,1706,2021-08-24 12:15:00,,0,0,0,,,,
Train the Trainer_Overhead Crane Instructor Class,Completed,0,Pass,2016-03-15 08:00:00,2016-03-15 08:00:00,1740,2016-03-15 00:00:00,,0,0,0,,,,
Computer Skills_Excel Intermediate Class,Completed,0,Pass,2017-10-04 08:00:00,2017-10-04 08:00:00,1743,2017-04-14 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,1768,2015-08-27 00:00:00,,0,0,0,,,,
Computer_FileHold Class,Completed,0,Pass,2017-03-05 08:00:00,2017-03-05 08:00:00,1778,2017-03-05 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2016-06-06 08:00:00,2016-06-06 08:00:00,1783,2016-07-06 00:00:00,,0,0,0,,,,
Technical_Fanuc Level I (Ranken) Class,Completed,0,Pass,2018-12-13 20:22:56,2018-12-13 20:22:56,1798,2018-03-05 22:00:00,,0,0,0,,,,
Technical_Fanuc Level II (Ranken) Class,Completed,0,Pass,2018-12-13 20:21:06,2018-12-13 20:21:06,1798,2018-05-24 22:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-09-23 08:00:00,2015-09-23 08:00:00,1824,2015-09-23 00:00:00,,0,0,0,,,,
Computer Skills_Excel Basic Class,Completed,0,Pass,2017-07-24 08:00:00,2017-07-24 08:00:00,1839,2017-07-28 00:00:00,,0,0,0,,,,
Computer Skills_Excel Intermediate Class,Completed,0,Pass,2017-07-08 08:00:00,2017-07-08 08:00:00,1839,2017-11-08 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2016-06-06 08:00:00,2016-06-06 08:00:00,1841,2016-07-06 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,1842,2015-08-27 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,1856,2015-08-27 00:00:00,,0,0,0,,,,
Leadership_Emotional Intelligence Training-0002,Completed,0,Pass,2019-09-16 16:53:45,2019-09-16 16:53:45,1907,2019-10-24 14:55:00,,0,0,0,,,,
Leadership_Emotional Intelligence Training-0002,Completed,0,Pass,2019-09-13 21:02:13,2019-09-13 21:02:13,1917,2019-10-24 14:55:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 16:22:09,2018-12-13 16:22:09,1920,2018-12-01 12:00:00,,0,0,0,,,,
Leadership_Emotional Intelligence Training-0001,Completed,0,Pass,2019-07-10 20:58:41,2019-07-10 20:58:41,1920,2019-10-24 14:55:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 16:37:12,2018-12-13 16:37:12,1937,2018-01-15 14:30:00,,0,0,0,,,,
Leadership_Emotional Intelligence Training-0001,Completed,0,Pass,2019-09-13 19:44:47,2019-09-13 19:44:47,1937,2019-10-24 14:55:00,,0,0,0,,,,
Computer Skills_Excel Basic Class,Completed,0,Pass,2017-06-26 08:00:00,2017-06-26 08:00:00,1943,2017-06-30 00:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 16:22:09,2018-12-13 16:22:09,1943,2018-12-01 12:00:00,,0,0,0,,,,
Safety_Token Yochi Class,Completed,0,Pass,2017-07-11 08:00:00,2017-07-11 08:00:00,1943,2017-07-11 00:00:00,,0,0,0,,,,
Computer Skills_Excel Basic Class,Completed,0,Pass,2017-06-26 08:00:00,2017-06-26 08:00:00,1962,2017-06-30 00:00:00,,0,0,0,,,,
Computer Skills_Excel Intermediate Class,Completed,0,Pass,2017-10-07 08:00:00,2017-10-07 08:00:00,1962,2017-07-14 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,1971,2015-08-27 00:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 15:57:33,2018-12-13 15:57:33,2033,2018-12-01 21:00:00,,0,0,0,,,,
Leadership_Emotional Intelligence Training-0002,Completed,0,Pass,2019-09-13 22:00:59,2019-09-13 22:00:59,2033,2019-10-24 14:55:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,2037,2015-08-27 00:00:00,,0,0,0,,,,
Compliance_LIVE Fire Extinguisher Training_MO-0116,Completed,0,Pass,2023-03-29 15:28:35,2023-03-29 15:28:35,2068,2023-04-04 13:20:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 15:51:19,2018-12-13 15:51:19,2131,2018-01-13 01:00:00,,0,0,0,,,,
Safety_Token Yochi Class,Completed,0,Pass,2017-07-13 08:00:00,2017-07-13 08:00:00,2131,2017-07-13 00:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 15:57:33,2018-12-13 15:57:33,2226,2018-12-01 21:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,2226,2015-08-27 00:00:00,,0,0,0,,,,
Train the Trainer_Overhead Crane Instructor Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,2231,2015-08-27 00:00:00,,0,0,0,,,,
Computer Skills_Excel Basic Class,Completed,0,Pass,2017-04-30 08:00:00,2017-04-30 08:00:00,2263,2017-04-30 00:00:00,,0,0,0,,,,
Safety_Token Yochi Class,Completed,0,Pass,2019-07-06 20:40:37,2019-07-06 20:40:37,2263,2019-07-06 20:40:00,,0,0,0,,,,
Auditor Training (vendor) Class,Completed,0,Pass,2017-03-27 08:00:00,2017-03-27 08:00:00,2268,2017-03-29 00:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 14:48:56,2018-12-13 14:48:56,2268,2018-11-01 13:00:00,,0,0,0,,,,
Requirement_Certificate of AGG Auditor Class -0001,Completed,0,Pass,2016-09-30 08:00:00,2016-09-30 08:00:00,2268,2016-09-30 16:30:00,,0,0,0,,,,
Requirement_Lead Auditor Training with Supplier Auditor Certification (ISO 9001:2000_ISO/TS 16949:20,Completed,0,Pass,2003-09-19 08:00:00,2003-09-19 08:00:00,2268,2003-09-19 00:00:00,,0,0,0,,,,
Requirement_Lead Auditor Validation (ISO/TS 16949:2009) -0001,Completed,0,Pass,2016-06-16 08:00:00,2016-06-16 08:00:00,2268,2016-06-17 15:00:00,,0,0,0,,,,
Computer Skills_Excel Intermediate Class,Completed,0,Pass,2017-05-15 08:00:00,2017-05-15 08:00:00,2289,2017-05-19 00:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 16:22:09,2018-12-13 16:22:09,2290,2018-12-01 12:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 16:22:09,2018-12-13 16:22:09,2340,2018-12-01 12:00:00,,0,0,0,,,,
Computer_Excel Basic-0011,Completed,0,Pass,2019-01-31 14:35:56,2019-01-31 14:35:56,2340,2019-08-02 17:25:00,,0,0,0,,,,
Safety_Token Yochi Class,Completed,0,Pass,2017-11-10 08:00:00,2017-11-10 08:00:00,2377,2017-11-10 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,2435,2015-08-27 00:00:00,,0,0,0,,,,
Computer Skills_Excel Intermediate Class,Completed,0,Pass,2017-05-15 08:00:00,2017-05-15 08:00:00,2455,2017-05-19 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,2522,2015-08-27 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,2525,2015-08-27 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,2535,2015-08-27 00:00:00,,0,0,0,,,,
Leadership_Emotional Intelligence Training-0002,Completed,0,Pass,2019-09-16 13:12:28,2019-09-16 13:12:28,2566,2019-10-24 14:55:00,,0,0,0,,,,
Leadership_Emotional Intelligence Training-0001,Completed,0,Pass,2019-09-13 16:41:40,2019-09-13 16:41:40,2579,2019-10-24 14:55:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,2583,2015-08-27 00:00:00,,0,0,0,,,,
Computer_Excel Basic-0011,Completed,0,Pass,2019-01-14 19:31:02,2019-01-14 19:31:02,2614,2019-08-02 17:25:00,,0,0,0,,,,
Computer Skills_Excel Basic Class,Completed,0,Pass,2017-04-24 08:00:00,2017-04-24 08:00:00,2627,2017-04-28 00:00:00,,0,0,0,,,,
Computer Skills_Excel Intermediate Class,Completed,0,Pass,2017-05-15 08:00:00,2017-05-15 08:00:00,2627,2017-05-19 00:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 15:57:33,2018-12-13 15:57:33,2627,2018-12-01 21:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2017-03-10 08:00:00,2017-03-10 08:00:00,2627,2017-10-13 00:00:00,,0,0,0,,,,
Computer_Excel Basic-0011,No Show,0,Pass,2019-04-02 14:53:16,2019-04-02 14:53:16,2639,2019-11-02 17:27:59,,0,0,0,,,,
Train the Trainer_Overhead Crane Instructor Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,2654,2015-08-27 00:00:00,,0,0,0,,,,
Safety_Token Yochi Class,Completed,0,Pass,2019-12-06 15:55:48,2019-12-06 15:55:48,2674,2019-12-06 15:55:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,2687,2015-08-27 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,2694,2015-08-27 00:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 15:49:26,2018-12-13 15:49:26,2718,2018-12-01 01:00:00,,0,0,0,,,,
Safety_Token Yochi Class,Completed,0,Pass,2017-12-10 08:00:00,2017-12-10 08:00:00,2718,2017-12-10 00:00:00,,0,0,0,,,,
Train the Trainer_Overhead Crane Instructor Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,2718,2015-08-27 00:00:00,,0,0,0,,,,
Train the Trainer_Overhead Crane Instructor Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,2744,2015-08-27 00:00:00,,0,0,0,,,,
Technical_Fanuc Level I (Ranken)-0001,Completed,0,Pass,2021-12-07 20:59:22,2021-12-07 20:59:22,2781,2021-07-22 15:55:00,,0,0,0,,,,
Technical_Mechanical Level 2 Lab (Ranken) Class,Completed,0,Pass,2016-10-10 08:00:00,2016-10-10 08:00:00,2781,2016-10-14 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,2790,2015-08-27 00:00:00,,0,0,0,,,,
Computer & Software_JDE Class,Completed,0,Pass,2017-01-23 08:00:00,2017-01-23 08:00:00,2809,2017-01-23 00:00:00,,0,0,0,,,,
Computer & Software_Microsoft Outlook Class,Completed,0,Pass,2017-01-23 08:00:00,2017-01-23 08:00:00,2809,2017-01-23 00:00:00,,0,0,0,,,,
Computer & Software_Shop Floor Data Entry Class,Completed,0,Pass,2017-01-23 08:00:00,2017-01-23 08:00:00,2809,2017-01-23 00:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 15:57:33,2018-12-13 15:57:33,2809,2018-12-01 21:00:00,,0,0,0,,,,
Computer_FileHold Class,Completed,0,Pass,2017-01-23 08:00:00,2017-01-23 08:00:00,2809,2017-01-23 00:00:00,,0,0,0,,,,
Legal_FMLA for Management (AGG specifics) Class,Completed,0,Pass,2017-03-04 08:00:00,2017-03-04 08:00:00,2809,2017-03-04 00:00:00,,0,0,0,,,,
Safety_Token Yochi Class,Completed,0,Pass,2017-06-29 08:00:00,2017-06-29 08:00:00,2809,2017-06-29 00:00:00,,0,0,0,,,,
Safety_Token Yochi Class,Completed,0,Pass,2016-10-08 08:00:00,2016-10-08 08:00:00,2841,2016-10-08 00:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 16:22:09,2018-12-13 16:22:09,2846,2018-12-01 12:00:00,,0,0,0,,,,
Leadership_Emotional Intelligence Training-0001,Completed,0,Pass,2019-09-13 13:49:57,2019-09-13 13:49:57,2846,2019-10-24 14:55:00,,0,0,0,,,,
Computer & Software_Excel Intermediate-0002,Cancelled,0,Pass,2019-01-24 16:00:31,2019-01-24 16:00:31,2859,2019-01-02 21:59:13,,0,0,0,,,,
Computer & Software_Excel Intermediate-0003,Completed,0,Pass,2019-01-02 22:19:46,2019-01-02 22:19:46,2859,2019-02-15 14:50:00,,0,0,0,,,,
Computer_Excel Basic-0011,Completed,0,Pass,2019-01-14 22:55:50,2019-01-14 22:55:50,2859,2019-08-02 17:25:00,,0,0,0,,,,
Technical_Fanuc Level I (Ranken)-0001,Completed,0,Pass,2021-12-07 21:28:32,2021-12-07 21:28:32,2859,2021-07-22 19:20:00,,0,0,0,,,,
Technical_Fanuc Level I (Ranken)-0004,Completed,0,Pass,2021-08-20 18:21:54,2021-08-20 18:21:54,2859,2021-02-09 22:00:00,,0,0,0,,,,
Technical_Mechanical Level 2 Lab (Ranken) Class,Completed,0,Pass,2016-10-10 08:00:00,2016-10-10 08:00:00,2859,2016-10-14 00:00:00,,0,0,0,,,,
Computer & Software_JDE Class,Completed,0,Pass,2017-09-19 08:00:00,2017-09-19 08:00:00,2881,2017-09-19 00:00:00,,0,0,0,,,,
Computer & Software_Microsoft Outlook Class,Completed,0,Pass,2017-09-15 08:00:00,2017-09-15 08:00:00,2881,2017-09-15 00:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2017-09-15 08:00:00,2017-09-15 08:00:00,2881,2017-09-15 00:00:00,,0,0,0,,,,
Computer_FileHold Class,Completed,0,Pass,2017-09-25 08:00:00,2017-09-25 08:00:00,2881,2017-09-25 00:00:00,,0,0,0,,,,
Safety_Token Yochi Class,Completed,0,Pass,2017-09-08 08:00:00,2017-09-08 08:00:00,2881,2017-09-08 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,2883,2015-08-27 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,2887,2015-08-27 00:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 16:37:12,2018-12-13 16:37:12,2999,2018-01-15 14:30:00,,0,0,0,,,,
Technical_Fanuc Level I (Ranken) Class,Completed,0,Pass,2017-02-13 08:00:00,2017-02-13 08:00:00,2999,2017-02-16 00:00:00,,0,0,0,,,,
Technical_Fanuc Level II (Ranken) Class,Completed,0,Pass,2017-03-20 08:00:00,2017-03-20 08:00:00,2999,2017-03-23 00:00:00,,0,0,0,,,,
Technical_Fanuc Level III (Ranken) Class,Completed,0,Pass,2017-01-05 08:00:00,2017-01-05 08:00:00,2999,2017-05-05 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-18 08:00:00,2015-08-18 08:00:00,3064,2015-08-18 00:00:00,,0,0,0,,,,
Computer Skills_Excel Basic Class,Completed,0,Pass,2017-03-27 08:00:00,2017-03-27 08:00:00,3121,2017-03-04 00:00:00,,0,0,0,,,,
Computer Skills_Excel Intermediate Class,Completed,0,Pass,2017-10-07 08:00:00,2017-10-07 08:00:00,3121,2017-07-14 00:00:00,,0,0,0,,,,
Safety_Token Yochi Class,Completed,0,Pass,2019-05-24 15:05:10,2019-05-24 15:05:10,3121,2018-07-12 16:05:00,,0,0,0,,,,
Computer Skills_Excel Basic Class,Completed,0,Pass,2017-03-27 08:00:00,2017-03-27 08:00:00,3137,2017-03-04 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-10-15 08:00:00,2015-10-15 08:00:00,3137,2015-10-15 00:00:00,,0,0,0,,,,
Computer_FileHold Class,Completed,0,Pass,2017-03-05 08:00:00,2017-03-05 08:00:00,3183,2017-03-05 00:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 16:22:09,2018-12-13 16:22:09,3288,2018-12-01 13:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 15:20:56,2018-12-13 15:20:56,3307,2018-11-01 21:00:00,,0,0,0,,,,
Safety_Token Yochi Class,Completed,0,Pass,2017-10-08 08:00:00,2017-10-08 08:00:00,3307,2017-10-08 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-02-09 08:00:00,2015-02-09 08:00:00,3342,2015-02-09 00:00:00,,0,0,0,,,,
Train the Trainer_Overhead Crane Instructor Class,Completed,0,Pass,2016-03-15 08:00:00,2016-03-15 08:00:00,3366,2016-03-15 00:00:00,,0,0,0,,,,
Train the Trainer_Overhead Crane Instructor Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,3407,2015-08-27 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,3468,2015-08-27 00:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 15:11:16,2018-12-13 15:11:16,3477,2018-11-01 14:30:00,,0,0,0,,,,
Computer_FileHold Class,Completed,0,Pass,2017-03-05 08:00:00,2017-03-05 08:00:00,3477,2017-03-05 00:00:00,,0,0,0,,,,
Safety_Token Yochi Class,Completed,0,Pass,2017-11-10 08:00:00,2017-11-10 08:00:00,3477,2017-11-10 00:00:00,,0,0,0,,,,
Computer & Software_JDE Class,Completed,0,Pass,2015-12-16 08:00:00,2015-12-16 08:00:00,3487,2015-12-16 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-09-16 08:00:00,2015-09-16 08:00:00,3487,2015-09-16 00:00:00,,0,0,0,,,,
Safety_Token Yochi Class,Completed,0,Pass,2017-10-08 08:00:00,2017-10-08 08:00:00,3487,2017-10-08 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-09-23 08:00:00,2015-09-23 08:00:00,3498,2015-09-23 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,3499,2015-08-27 00:00:00,,0,0,0,,,,
Core_ Core Operator Training (AGGU) Class,Completed,0,Pass,2015-08-27 08:00:00,2015-08-27 08:00:00,3530,2015-08-27 00:00:00,,0,0,0,,,,
Computer Skills_Excel Basic Class,Completed,0,Pass,2017-06-26 08:00:00,2017-06-26 08:00:00,3575,2017-06-30 00:00:00,,0,0,0,,,,
Computer Skills_Excel Intermediate Class,Completed,0,Pass,2017-10-07 08:00:00,2017-10-07 08:00:00,3575,2017-07-14 00:00:00,,0,0,0,,,,
Safety_Token Yochi Class,Completed,0,Pass,2017-11-08 08:00:00,2017-11-08 08:00:00,3575,2017-11-08 00:00:00,,0,0,0,,,,
Computer Skills_Excel Basic Class,Completed,0,Pass,2017-06-26 08:00:00,2017-06-26 08:00:00,3600,2017-06-30 00:00:00,,0,0,0,,,,
Computer_GDP (eTime dept tracking) Class,Completed,0,Pass,2018-12-13 15:23:27,2018-12-13 15:23:27,3600,2018-11-01 21:00:00,,0,0,0,,,,
